distance_mm,dest,origin,time,origin_key,origin_x,origin_y,origin_z,origin_r,dest_key,dest_x,dest_y,dest_z,dest_r
71,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355209.595465,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
70,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355210.1065993,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
71,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355210.6209333,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
70,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355211.1214533,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
71,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355211.6350975,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
71,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355212.1491928,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
71,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355212.6628838,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
71,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355213.1750438,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
70,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355213.6838279,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
71,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355214.1975384,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
71,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355214.6980813,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
70,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355215.2114058,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
71,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355215.7262747,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
70,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355216.2420852,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
71,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355216.7505617,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
70,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355217.264618,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
71,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355217.7783837,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
70,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355218.2869139,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
71,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355218.7937796,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
71,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355219.306184,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
70,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355219.8158996,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
71,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355220.3280292,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
70,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355220.8406498,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
71,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355221.3546653,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
70,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355221.8650413,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
71,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355222.3796287,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
70,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355222.8885546,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
71,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355223.402097,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
71,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355223.9104974,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
70,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355224.421662,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
71,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355224.9320955,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
70,"[225, 188, -9, 71]","[294, 80, -9, 18.9]",1739355225.4422755,top_right,294.0,80.0,-9.0,18.9,top_middle,225,188,-9,71.0
